,gene,variable,value,color
1,EGFR,Macrophage___Endothelial.1,-0.488498272415193,blue
8,VIM,Macrophage___Endothelial.1,-0.417531846584968,blue
10,ERBB2,Macrophage___Endothelial.1,-0.352291115203684,blue
11,TP53,Macrophage___Endothelial.1,0.522613313727648,red
13,PGR,Macrophage___Endothelial.1,-0.407500295802384,blue
14,MYC,Macrophage___Endothelial.1,-0.447353871880452,blue
16,KRT14,Macrophage___Endothelial.1,-0.45861719713381,blue
17,SNAI2,Macrophage___Endothelial.1,0.732522822743698,red
20,KRT5,Macrophage___Endothelial.1,-0.658040599134539,blue
23,CD68,Macrophage___Endothelial.1,-0.406898531314659,blue
28,TWIST1,Macrophage___Endothelial.1,-0.411692528029509,blue
30,MTOR,Macrophage___Endothelial.1,-0.44930799111184,blue
31,EGFR,T_Cell___Proliferative.1,-0.35712072350154,blue
34,GATA3,T_Cell___Proliferative.1,-0.366559680954409,blue
36,MKI67,T_Cell___Proliferative.1,0.426507978527225,red
39,CASP3,T_Cell___Proliferative.1,-0.372330624111686,blue
40,ERBB2,T_Cell___Proliferative.1,-0.410308578929243,blue
41,TP53,T_Cell___Proliferative.1,0.620635021899017,red
43,PGR,T_Cell___Proliferative.1,-0.489482142037444,blue
47,SNAI2,T_Cell___Proliferative.1,0.843142765904472,red
50,KRT5,T_Cell___Proliferative.1,-0.583291143495998,blue
58,TWIST1,T_Cell___Proliferative.1,-0.372141507065281,blue
60,MTOR,T_Cell___Proliferative.1,-0.467503398996737,blue
61,EGFR,Macrophage___Proliferative.1,-0.497851970444383,blue
68,VIM,Macrophage___Proliferative.1,-0.420299406768989,blue
69,CASP3,Macrophage___Proliferative.1,-0.35496763644411,blue
70,ERBB2,Macrophage___Proliferative.1,-0.36085844059662,blue
71,TP53,Macrophage___Proliferative.1,0.527240786867916,red
73,PGR,Macrophage___Proliferative.1,-0.427804383940385,blue
74,MYC,Macrophage___Proliferative.1,-0.457802746680154,blue
76,KRT14,Macrophage___Proliferative.1,-0.468346702847229,blue
77,SNAI2,Macrophage___Proliferative.1,0.762159562845448,red
80,KRT5,Macrophage___Proliferative.1,-0.623621863878047,blue
81,CD44,Macrophage___Proliferative.1,-0.359489559318702,blue
83,CD68,Macrophage___Proliferative.1,-0.411169440824671,blue
88,TWIST1,Macrophage___Proliferative.1,-0.427461825979762,blue
90,MTOR,Macrophage___Proliferative.1,-0.469547979910626,blue
95,H3F3B,Proliferative___Proliferative,0.361178248037687,red
96,MKI67,Proliferative___Proliferative,0.461493199852166,red
101,TP53,Proliferative___Proliferative,0.4324266283317,red
102,KRT19,Proliferative___Proliferative,-0.353496981727519,blue
103,PGR,Proliferative___Proliferative,-0.437300093284127,blue
105,FN1,Proliferative___Proliferative,-0.691463967471404,blue
109,VWF,Proliferative___Proliferative,-0.458575745773971,blue
110,KRT5,Proliferative___Proliferative,-0.560321324176673,blue
114,CD3E,Proliferative___Proliferative,-0.399252584111817,blue
116,KRT8,Proliferative___Proliferative,-0.620790541860492,blue
117,KRT7,Proliferative___Proliferative,-0.776569178467195,blue
120,MTOR,Proliferative___Proliferative,-0.417287123672171,blue
131,TP53,Proliferative___Myoepithelial,-0.449761971009688,blue
137,SNAI2,Proliferative___Myoepithelial,-0.366853049482574,blue
